Pertanyaan,Jawaban,Bank,Tahun,Jenis Laporan
Berapa pendapatan bunga PT Bank Central Asia Tbk dan syariah pada tahun 2024?,Pendapatan bunga PT Bank Central Asia Tbk dan syariah pada tahun 2024 adalah 93.991.349 juta Rupiah.,PT BANK CENTRAL ASIA TBK,2024,Laporan Tidak Diketahui
Berapa pendapatan syariah PT Bank Central Asia Tbk pada tahun 2024?,Pendapatan syariah PT Bank Central Asia Tbk pada tahun 2024 adalah 805.105 juta Rupiah.,PT BANK CENTRAL ASIA TBK,2024,Laporan Tidak Diketahui
Berapa jumlah pendapatan bunga dan syariah PT Bank Central Asia Tbk pada tahun 2024?,Jumlah pendapatan bunga dan syariah PT Bank Central Asia Tbk pada tahun 2024 adalah 94.796.454 juta Rupiah.,PT BANK CENTRAL ASIA TBK,2024,Laporan Tidak Diketahui
Berapa beban bunga PT Bank Central Asia Tbk pada tahun 2024?,Beban bunga PT Bank Central Asia Tbk pada tahun 2024 adalah (12.137.180) juta Rupiah.,PT BANK CENTRAL ASIA TBK,2024,Laporan Tidak Diketahui
Berapa beban syariah PT Bank Central Asia Tbk pada tahun 2024?,Beban syariah PT Bank Central Asia Tbk pada tahun 2024 adalah (395.110) juta Rupiah.,PT BANK CENTRAL ASIA TBK,2024,Laporan Tidak Diketahui
Berapa jumlah beban bunga dan syariah PT Bank Central Asia Tbk pada tahun 2024?,Jumlah beban bunga dan syariah PT Bank Central Asia Tbk pada tahun 2024 adalah (12.532.290) juta Rupiah.,PT BANK CENTRAL ASIA TBK,2024,Laporan Tidak Diketahui
Berapa pendapatan bunga dan syariah bersih PT Bank Central Asia Tbk pada tahun 2024?,Pendapatan bunga dan syariah bersih PT Bank Central Asia Tbk pada tahun 2024 adalah 82.264.164 juta Rupiah.,PT BANK CENTRAL ASIA TBK,2024,Laporan Tidak Diketahui
Berapa pendapatan provisi dan komisi bersih PT Bank Central Asia Tbk pada tahun 2024?,Pendapatan provisi dan komisi bersih PT Bank Central Asia Tbk pada tahun 2024 adalah 17.979.919 juta Rupiah.,PT BANK CENTRAL ASIA TBK,2024,Laporan Tidak Diketahui
Berapa pendapatan transaksi yang diukur pada nilai wajar melalui laba rugi bersih PT Bank Central Asia Tbk pada tahun 2024?,Pendapatan transaksi yang diukur pada nilai wajar melalui laba rugi bersih PT Bank Central Asia Tbk pada tahun 2024 adalah 2.854.529 juta Rupiah.,PT BANK CENTRAL ASIA TBK,2024,Laporan Tidak Diketahui
Berapa pendapatan operasional lainnya (lain-lain) PT Bank Central Asia Tbk pada tahun 2024?,Pendapatan operasional lainnya (lain-lain) PT Bank Central Asia Tbk pada tahun 2024 adalah 5.207.929 juta Rupiah.,PT BANK CENTRAL ASIA TBK,2024,Laporan Tidak Diketahui
